# The late-stage gap sorted by what each row is, before any of it is priced. See backend/pipeline_sort.py
# for the classes and the population. One row per asset, keyed by ticker and the asset's name.
ticker,name,class,of,approved,confidence,evidence,as_of
ALNY,ALN-APP,DUPLICATE,Mivelsiran,,high,"Alnylam's 10-Q filed 2026-07-30 (0001178670-26-000062) names mivelsiran as formerly ALN-APP, and the Mivelsiran row in this batch holds the same molecule.",2026-09-24
ALNY,Mivelsiran,NEW,,,high,"Alnylam's 10-Q filed 2026-07-30 lists mivelsiran (formerly ALN-APP), an RNAi therapeutic targeting APP, in CAA and Alzheimer's disease, with Phase 2 NCT07636811 recruiting and no approval.",2026-09-24
ALNY,Nucresiran,NEW,,,high,"Alnylam's 10-Q filed 2026-07-30 describes nucresiran as its next-generation TTR RNAi therapeutic, a different molecule from Amvuttra (vutrisiran), in Phase 3 TRITON-CM NCT07052903 (recruiting).",2026-09-24
ALNY,Zilebesiran,NEW,,,high,"Zilebesiran, Alnylam's angiotensinogen RNAi therapeutic, is in the 11,000-patient cardiovascular outcomes Phase 3 NCT07181109 (recruiting) with no FDA or EMA authorisation in the local tables.",2026-09-24
AMGN,ABP 206,NEW,nivolumab biosimilar,,high,"ABP 206 is Amgen's proposed biosimilar to Opdivo (nivolumab) in a Phase 3 comparison in melanoma (NCT06054555, active not recruiting); the biosimilar itself is unapproved and not in the AMGN book (https://www.pearceip.law/2026/02/03/amgen-update-on-biosimilar-pipeline-nivolumab-ocrelizumab-pembrolizumab/).",2026-09-24
AMGN,ABP 692,NEW,ocrelizumab biosimilar,,high,"ABP 692 is Amgen's proposed biosimilar to Ocrevus (ocrelizumab) in a Phase 3 PK/PD comparison in RRMS (NCT06700343, active not recruiting); the biosimilar itself is unapproved and not in the AMGN book (https://www.pearceip.law/2025/01/13/amgens-ocrelizumab-biosimilar-in-phase-3-trials/).",2026-09-24
AMGN,Avacopan,LINE_EXTENSION,Tavneos (avacopan),FDA 2021-10-07; EMA 2022-01-11,medium,"Avacopan is Amgen's marketed Tavneos (not in the book) here in a Phase 4 AAV study (NCT06072482, recruiting) and a paediatric Phase 3 (NCT06321601); the EC revoked the EU authorisation on 2026-08-06 and FDA has proposed withdrawal (https://www.federalregister.gov/documents/2026/04/30/2026-08455/chemocentryx-inc-proposal-to-withdraw-approval-of-new-drug-application-for-tavneos-avacopan-capsule); approval date: https://www.drugs.com/history/tavneos.html",2026-09-24
AMGN,Dazodalibep,NEW,,,high,Dazodalibep is a CD40L antagonist fusion protein that met its primary endpoint in Phase 3 OASIZ 301 in Sjogren's disease on 2026-09-22 (NCT06245408) and is not in the AMGN book (https://investors.amgen.com/news-releases/news-release-details/amgen-announces-positive-topline-phase-3-results-dazodalibep).,2026-09-24
AMGN,Inebilizumab,LINE_EXTENSION,Uplizna (inebilizumab-cdon),FDA 2020-06-11; EMA 2022-04-25,high,"Inebilizumab is Amgen's marketed Uplizna (EMA authorised 2022-04-25 per dossier, not in the AMGN book list) running new-indication and paediatric trials (NCT07598825 autoimmune hepatitis, NCT06987539 paediatric gMG); approval date: https://www.globenewswire.com/news-release/2020/06/11/2047190/0/en/viela-bio-announces-u-s-fda-approval-of-uplizna-inebilizumab-cdon-for-the-treatment-of-neuromyelitis-optica-spectrum-disorder-nmosd.html",2026-09-24
ARCT,ARCT-032,NEW,,,high,"NCT06747858 (Phase 2, Recruiting) tests Arcturus's inhaled CFTR mRNA, and the company expects a Phase 3 decision in Q4 2026 (https://ir.arcturusrx.com/news-releases/news-release-details/arcturus-therapeutics-announces-second-quarter-2026-financial).",2026-09-24
ARCT,ARCT-810,NEW,,,high,"NCT06488313 (Phase 2, Recruiting) is Arcturus's own mRNA study in OTC deficiency, and Arcturus's Q2 2026 release says dosing is complete with an End-of-Phase 2 meeting in preparation (https://ir.arcturusrx.com/news-releases/news-release-details/arcturus-therapeutics-announces-second-quarter-2026-financial).",2026-09-24
ARGX,Adimanebart IV,NEW,adimanebart,,high,"Adimanebart is the INN for ARGX-119, a MuSK agonist antibody with a Phase 3 CMS trial not yet recruiting (NCT07746089); it is the clearer-named of two population rows for this molecule (https://accp1.onlinelibrary.wiley.com/doi/10.1002/jcph.70208).",2026-09-24
ARGX,ARGX-117,DUPLICATE,Empasiprubart,,high,"ARGX-117 is the development code of empasiprubart, held in this population as the row Empasiprubart (https://argenx.com/pipeline/empasiprubart).",2026-09-24
ARGX,ARGX-119,DUPLICATE,Adimanebart IV (adimanebart),,high,"ARGX-119 is the development code of adimanebart, which this population holds as the row Adimanebart IV (https://accp1.onlinelibrary.wiley.com/doi/10.1002/jcph.70208).",2026-09-24
ARGX,Efgartigimod PH20 SC,LINE_EXTENSION,Vyvgart Hytrulo (efgartigimod alfa and hyaluronidase-qvfc),FDA 2021-12-17; EMA 2022-08-10,high,"Efgartigimod PH20 SC is the subcutaneous product sold as Vyvgart Hytrulo, a marketed ARGX row, and Vyvgart holds EMA authorisation from 2022-08-10 per the dossier; approval date: https://www.drugs.com/history/vyvgart.html",2026-09-24
ARGX,Empasiprubart,NEW,,,medium,"Empasiprubart (ex ARGX-117), an anti-C2 antibody, is in recruiting Phase 3 CIDP trials (NCT06920004, NCT07091630) with no model in the book; the only other book row, empasiprubart SC AI (id 1605), is unmodelled.",2026-09-24
ARWR,ARO-RAGE,NEW,,,high,"ARO-RAGE is an inhaled RAGE-targeting siRNA in a recruiting Phase 2 allergen-challenge asthma study (NCT07241546), not in the book.",2026-09-24
ARWR,Plozasiran,LINE_EXTENSION,Redemplo (plozasiran),FDA 2025-11-18; EMA 2026-06-19,high,"Plozasiran is Arrowhead's marketed Redemplo (FDA FCS approval 2025-11-18, EMA 2026-06-19 per dossier) running Phase 3 trials for the new severe hypertriglyceridemia indication (NCT06347003, NCT06880770) (https://ir.arrowheadpharma.com/news-releases/news-release-details/arrowhead-pharmaceuticals-announces-fda-approval-redemplor).",2026-09-24
ARWR,Zodasiran,NEW,,,high,Zodasiran is an ANGPTL3 siRNA whose Phase 3 YOSEMITE in HoFH (NCT07037771) completed enrolment of 70 patients in July 2026 (https://ir.arrowheadpharma.com/news-releases/news-release-details/arrowhead-pharmaceuticals-completes-enrollment-global-phase-3).,2026-09-24
AUTL,AUTO CAR T cell therapy,NOT_A_PROGRAMME,,,high,"NCT03628612 (Enrolling by invitation, completion 2043) is Autolus's long-term safety follow-up of patients already treated in earlier gene-modified T cell studies, so no product is dosed and the row is not one programme.",2026-09-24
AUTL,Obecabtagene autoleucel,LINE_EXTENSION,Aucatzyl (obecabtagene autoleucel),FDA 2024-11-08; EMA 2025-07-17,high,"Obe-cel is already authorised as Aucatzyl for B-ALL (dossier EMA entry, Autolus GmbH, 2025-07-17), and NCT07053800 and NCT07139743 take it into new indications, lupus nephritis and progressive MS; Aucatzyl is missing from AUTL's marketed list in the book; approval date: https://www.fda.gov/media/183464/download",2026-09-24
AXSM,AXS-14 (Esreboxetine),NEW,,,high,"NCT07398417 (Phase 3, Recruiting) and NCT07637162 (Phase 3, Enrolling by invitation) test esreboxetine in fibromyalgia, and esreboxetine is not one of Axsome's marketed molecules in the book (Auvelity, Sunosi, Symbravo).",2026-09-24
AZN,Acalabrutinib + R-CHOP standard of care,REGIMEN,"Calquence (acalabrutinib) + R-CHOP (rituximab, cyclophosphamide, doxorubicin, vincristine, prednisone)",FDA 2017-10-31; EMA 2020-11-05,high,"NCT07029737 (Recruiting) adds acalabrutinib, marketed as Calquence in the book (EMA 2020-11-05 per dossier), to R-CHOP, whose components are all approved.",2026-09-24
AZN,Anifrolumab + APFS,LINE_EXTENSION,Saphnelo (anifrolumab),FDA 2021-07-30; EMA 2022-02-14,high,"NCT07630714 (Recruiting) tests subcutaneous anifrolumab by accessorized prefilled syringe in patients aged 5 to under 18, a new route, device and age group for Saphnelo, which the book carries (EMA 2022-02-14 per dossier).",2026-09-24
AZN,AZD0901,DUPLICATE,"Sonesitatug Vedotin (AZD0901, CMG901)",,high,"AZD0901 is the development code for sonesitatug vedotin (CMG901), the Claudin 18.2 ADC the book already models as Sonesitatug Vedotin (https://www.adcreview.com/drugmap/cmg901/).",2026-09-24
AZN,AZD1163,NEW,,,high,"AZD1163 is a first-in-class anti-PAD2/4 bispecific antibody with no INN and no row in the book (https://pubmed.ncbi.nlm.nih.gov/41982149/), in the Phase 2 LaunchPAD-RA trial NCT07276581 (Recruiting).",2026-09-24
AZN,AZD2389,NEW,,,high,"AZD2389 is an oral FAP inhibitor for liver fibrosis with no INN and no row in the book (https://drughunter.com/molecule/azd2389), in Phase 2 NCT07610837 (Recruiting).",2026-09-24
AZN,AZD4144,NEW,berzanoflast,,high,"AZD4144 is berzanoflast, an oral NLRP3 inhibitor not in the book (https://adisinsight.springer.com/drugs/800076157), with Phase 2 NCT07215702 in sepsis-associated acute kidney injury Recruiting.",2026-09-24
AZN,AZD6793,NEW,,,high,"AZD6793 is an oral IRAK4 inhibitor with no INN and no row in the book (ATS 2025 abstract, https://doi.org/10.1164/ajrccm.2025.211.Abstracts.A3037), in the Phase 2b COPD trial NCT07082738 (Recruiting).",2026-09-24
AZN,AZD7798,NEW,,,high,"AZD7798 is an anti-CCR9 depleting monoclonal antibody with no INN and no row in the book (ECCO 2025 abstract P0506, https://academic.oup.com/ecco-jcc/article/19/Supplement_1/i1047/7967561); its Phase 2 trials NCT06450197 and NCT06681324 are Active not recruiting.",2026-09-24
AZN,AZD8965 low dose,NEW,AZD8965,,medium,"The name is the low-dose arm of AZD8965, an oral arginase inhibitor in the Phase 2b ARGiNAUT trial NCT07652658 (Recruiting) in IPF, and the book holds no other AZD8965 row, so this row is the only carrier of the molecule.",2026-09-24
AZN,AZD9833,DUPLICATE,Etcamah (camizestrant),FDA 2026-09-04,high,"AZD9833 is camizestrant, the drug in SERENA-6 (NCT04964934), which FDA granted accelerated approval as Etcamah on 2026-09-04 (https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-camizestrant-cdk46-inhibitor-esr1-mutated-hr-positive-her2-negative), and Etcamah is a marketed product in the book.",2026-09-24
AZN,Balcinrenone/dapagliflozin,NEW,balcinrenone (AZD9977),,high,"Balcinrenone is an unapproved mineralocorticoid receptor modulator with no row of its own in the book (related_assets_in_book lists only dapagliflozin products and other combinations), so the combination in NCT06307652 (Recruiting) and NCT07624305 (Not yet recruiting) carries new value in balcinrenone.",2026-09-24
AZN,Baxdrostat and dapagliflozin,REGIMEN,Baxfendy (baxdrostat) + Farxiga (dapagliflozin),FDA 2026-05-18,high,"Both components are approved and in the book, baxdrostat as Baxfendy (FDA 2026-05-18, https://www.drugs.com/history/baxfendy.html) and dapagliflozin as Farxiga, and NCT06677060 (Recruiting) tests them together in heart failure.",2026-09-24
AZN,Baxdrostat/dapagliflozin,REGIMEN,Baxfendy (baxdrostat) + Farxiga (dapagliflozin),FDA 2026-05-18,high,"Both components are approved and in the book, baxdrostat as Baxfendy (FDA 2026-05-18, https://www.drugs.com/history/baxfendy.html) and dapagliflozin as Farxiga, and NCT06742723 and NCT06268873 test the pair in CKD and hypertension.",2026-09-24
AZN,BGF MDI 320/14.4/9.6 μg,DUPLICATE,Breztri Aerosphere (budesonide/glycopyrronium/formoterol),FDA 2020-07-23; EMA 2020-12-09,high,"BGF MDI 320/14.4/9.6 ug is the strength description of the budesonide, glycopyrronium and formoterol inhaler sold as Breztri (in the book) and authorised in the EU as Trixeo Aerosphere on 2020-12-09 (EMA entry in the batch dossier), and NCT06283966 (Recruiting) is its cardiopulmonary outcomes trial.",2026-09-24
AZN,"Budesonide/Albuterol metered dose inhaler, MDI",DUPLICATE,Airsupra (albuterol/budesonide),FDA 2023-01-10,high,"NCT06471257 (Recruiting) tests PT027, the albuterol/budesonide MDI sold as Airsupra, which the book carries as a marketed product (related asset id 1, NDA214070).",2026-09-24
AZN,Dato-DXd,LINE_EXTENSION,Datroway (datopotamab deruxtecan),FDA 2025-01-17; EMA 2025-04-04,high,"Dato-DXd is the abbreviation for datopotamab deruxtecan, sold as Datroway, which the book carries as marketed (FDA approval 2025-01-17 per fda.gov; EU authorisation 2025-04-04 per the EMA Datroway EPAR, https://www.ema.europa.eu/en/medicines/human/EPAR/datroway).",2026-09-24
AZN,Neoadjuvant Olaparib monotherapy group,NOT_A_PROGRAMME,Lynparza (olaparib),FDA 2014-12-19; EMA 2014-12-16,medium,"The name is a treatment-group label from NCT05498155 (Active not recruiting, neoadjuvant olaparib versus olaparib plus durvalumab), not a product, and the molecule is already in the book as Lynparza (EMA 2014-12-16 per dossier).",2026-09-24
AZN,Olaparib Continuous (28-Day cycle) 300 mg BD.,NOT_A_PROGRAMME,Lynparza (olaparib),FDA 2014-12-19; EMA 2014-12-16,high,"The name is a dose and schedule of olaparib, the monotherapy comparator arm in NCT03330847 (Active not recruiting, olaparib combinations versus olaparib monotherapy), and olaparib is already in the book as Lynparza (EMA 2014-12-16 per dossier).",2026-09-24
AZN,Oleclumab,NEW,,,medium,"Oleclumab (anti-CD73) is not in the book, NCT06606847 is Active not recruiting, and the AstraZeneca H1 2026 clinical trials appendix of 27 July 2026 still lists PACIFIC-9 (Imfinzi plus oleclumab) with data due H2 2026 (https://www.astrazeneca.com/content/dam/az/PDF/2026/h1q2/H1-and-Q2-2026-results-clinical-trials-appendix.pdf).",2026-09-24
AZN,Osimertinib + Savolitinib,DUPLICATE,Savolitinib,,high,"NCT04606771 combines Tagrisso (osimertinib), marketed in the book, with savolitinib, which holds no FDA or EMA approval and is already modelled in the book (related asset id 1699), so the row's value sits in the Savolitinib row.",2026-09-24
AZN,Rilvegostomig,NEW,,,high,"Rilvegostomig is not in the book in any form and has Phase 3 trials recruiting in the dossier, including NCT06627647 and NCT07221253 (ARTEMIDE-Biliary02).",2026-09-24
AZN,Taxane,NOT_A_PROGRAMME,,,high,"Taxane is the chemotherapy comparator in NCT04784715 (DESTINY-Breast09, T-DXd with or without pertuzumab versus taxane, trastuzumab and pertuzumab), not an AstraZeneca product.",2026-09-24
AZN,Torvutatug samrotecan,DUPLICATE,AZD5335 (torvutatug samrotecan),,high,"Torvutatug samrotecan is the INN for AZD5335, the FRalpha ADC the book already models, and the dossier's own trial NCT05797168 is titled Phase I/IIa Study of AZD5335 (https://adisinsight.springer.com/drugs/800073214).",2026-09-24
BAYN,AB-1005,NEW,,,high,"AB-1005 is AskBio's AAV2-GDNF gene therapy for Parkinson's disease in the Phase 2 REGENERATE-PD programme, with Japanese Phase 2 NCT07566429 not yet recruiting (https://www.bayer.com/media/en-us/first-participants-randomized-in-askbio-phase-ii-gene-therapy-trial-for-parkinsons-disease/).",2026-09-24
BAYN,BAY 3670549,NEW,,,high,BAY 3670549 is a GIRK4 inhibitor for pharmacological cardioversion of atrial fibrillation in a recruiting Phase 2 (NCT07625215) (https://www.biospace.com/press-releases/bayer-initiates-phase-ii-study-of-investigational-girk4-inhibitor-in-patients-with-atrial-fibrillation).,2026-09-24
BAYN,BAY3723113,NEW,aficamten,FDA 2025-12-19 (Cytokinetics); EMA 2026-02-12 (Cytokinetics),medium,"BAY3723113 is aficamten (Cytokinetics' Myqorzo), in Bayer's Japanese Phase 3 CAMELLIA-HCM (NCT07023341, active not recruiting); Bayer holds only Japan rights, licensed November 2024, and no book row carries aficamten (https://www.drugs.com/history/myqorzo.html).",2026-09-24
BIIB,BIIB017 (peginterferon beta-1a),LINE_EXTENSION,Plegridy (peginterferon beta-1a),FDA 2014-08-15; EMA 2014-07-18,high,"BIIB017 is peginterferon beta-1a, sold as Plegridy, a marketed BIIB row (EMA 2014-07-18 per dossier), here in a paediatric Phase 3 (NCT03958877).",2026-09-24
BIIB,BIIB059 (litifilimab),DUPLICATE,Litifilimab,,high,"BIIB059 is the code for litifilimab, which the BIIB book already models as Litifilimab (extension NCT06044337).",2026-09-24
BIIB,Felzartamab,NEW,,,high,"Felzartamab is an anti-CD38 antibody in recruiting Phase 3 trials in IgA nephropathy (NCT06935357) and primary membranous nephropathy (NCT06962800), not in the BIIB book.",2026-09-24
BMRN,Active BMN 111: Subcutaneous injection of recommended dose of BMN 111 based on weight-band dosing once daily.,DUPLICATE,Voxzogo (vosoritide),FDA 2021-11-19; EMA 2021-08-26,medium,"The row name is a trial arm description of BMN 111 dosing, and BMN 111 is vosoritide, sold as Voxzogo, a marketed BMRN row (extension NCT03989947, active not recruiting).",2026-09-24
BMRN,BMN 111,DUPLICATE,Voxzogo (vosoritide),FDA 2021-11-19; EMA 2021-08-26,high,"BMN 111 is the development code of vosoritide, sold as Voxzogo, a marketed BMRN row, and this row carries only extension studies (NCT03424018, NCT02724228).",2026-09-24
BMRN,BMN 333,NEW,,,high,"BMN 333 is a long-acting CNP analogue distinct from vosoritide, in a recruiting Phase 2/3 head-to-head against vosoritide in achondroplasia (NCT07441876).",2026-09-24
BMRN,BMN 351,NEW,,,high,"BMN 351 is an exon-51 oligonucleotide for Duchenne with Phase 1/2 NCT06280209 active and extension NCT07573631 enrolling, and BioMarin's Q2 2026 report guides a year-end 2026 update (https://www.biomarin.com/news/press-releases/biomarin-reports-second-quarter-2026-financial-and-operating-results/).",2026-09-24
BMY,Arlocabtagene Autoleucel,NEW,arlocabtagene autoleucel (BMS-986393),,high,"NCT06297226 Phase 2 recruiting tests arlocabtagene autoleucel (BMS-986393), a GPRC5D CAR T; the related book rows (Carvykti, Tecartus) are different molecules, and this INN row is chosen over the BMS-986393 row.",2026-09-24
BMY,BMS-986353,NEW,zolacabtagene autoleucel (zola-cel),,high,"NCT07335562 Phase 3 not yet recruiting names BMS-986353 as zolacabtagene autoleucel, a CD19 NEX-T CAR T with no book row; chosen over the CC-97540 row for the same product.",2026-09-24
BMY,BMS-986393,DUPLICATE,Arlocabtagene Autoleucel (BMS-986393),,high,"NCT06121843 title names arlocabtagene autoleucel (BMS-986393), the same GPRC5D CAR T as the Arlocabtagene Autoleucel row in this population.",2026-09-24
BMY,BMS-986435,NEW,"delocamten (BMS-986435, MYK-224)",,high,"NCT06122779 Phase 2 active not recruiting tests BMS-986435/MYK-224, a next-generation cardiac myosin inhibitor with INN delocamten (https://en.wikipedia.org/wiki/Delocamten) that is a different molecule from Camzyos (mavacamten).",2026-09-24
BMY,BMS-986446,NEW,,,high,"NCT06268886 Phase 2 active not recruiting tests BMS-986446 (PRX005 from Prothena), an anti-MTBR tau antibody with FDA Fast Track in Oct 2025 and no book row (https://www.businesswire.com/news/home/20251001695629/en/).",2026-09-24
BMY,BMS-986489,NEW,atigotatug (BMS-986012),,high,"NCT06646276 Phase 3 recruiting (TIGOS) tests BMS-986489, an atigotatug plus nivolumab fixed-dose combination in which atigotatug is a new unapproved anti-fucosyl-GM1 antibody with no book row.",2026-09-24
BMY,BMS-986504,DUPLICATE,Navlimetostat (BMS-986504),,high,"NCT07063745 and NCT07077434 titles name navlimetostat (BMS-986504), the same molecule as the Navlimetostat row in this population.",2026-09-24
BMY,BMS-986511,NEW,evifacotrep (BMS-986511),,high,NCT07772531 Phase 2 not yet recruiting tests oral BMS-986511 (listed as evifacotrep) as monotherapy in major depressive disorder; no book row or approval holds it (https://sigma.larvol.com/product.php?e1=766953&tab=newstrac).,2026-09-24
BMY,CAPOX,NOT_A_PROGRAMME,capecitabine + oxaliplatin,,high,"CAPOX is the background chemotherapy in NCT07221149 and NCT07221357, where the investigational agent is pumitamig.",2026-09-24
BMY,CC-486,DUPLICATE,Onureg (azacitidine),FDA 2004-05-19; EMA 2008-12-17,high,"NCT05413018 title names CC-486 as oral azacitidine for AML maintenance, the approved indication of Onureg, which the book carries as a BMY marketed product; approval date: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/50-794_vidaza.cfm",2026-09-24
BMY,CC-97540,DUPLICATE,BMS-986353 (zolacabtagene autoleucel),,high,"NCT07015983 title names CC-97540 as BMS-986353 or zola-cel, the same CAR T as the BMS-986353 row in this population.",2026-09-24
BMY,Imzokitug,NEW,,,medium,NCT07680764 Phase 2 recruiting is a BMS-sponsored study of imzokitug with pumitamig and chemotherapy in NSCLC; no book row shares the name and the dossier has no approval or EMA match (external identity lookup not run).,2026-09-24
BMY,Iza-bren,NEW,izalontamab brengitecan (BMS-986507),,high,"NCT07100080 and NCT06926868 Phase 2/3 recruiting test izalontamab brengitecan (BMS-986507), an EGFRxHER3 ADC with only a China NMPA approval on 2026-06-22 (https://www.biopharminternational.com/view/china-nmpa-approves-iza-bren-for-nasopharyngeal-carcinoma-marking-first-global-bispecific-adc-approval) and no book row.",2026-09-24
BMY,Navlimetostat,NEW,"navlimetostat (BMS-986504, MRTX1719)",,high,"NCT07076121 Phase 2/3 active not recruiting names navlimetostat (BMS-986504) as a BMS investigational PRMT5 agent; no book row or approval holds it, and it is chosen over the BMS-986504 row in this population.",2026-09-24
BMY,Nivolumab and rHuPH20,DUPLICATE,Opdivo Qvantig (nivolumab and hyaluronidase-nvhy),FDA 2014-12-22; EMA 2015-06-19,high,"NCT04810078 (CheckMate-67T) is the registrational trial of subcutaneous nivolumab, now sold as Opdivo Qvantig (book, BLA761381) and approved by the EC on 2025-05-28 (https://news.bms.com/news/details/2025/Bristol-Myers-Squibb-Receives-European-Commission-Approval-for-the-Subcutaneous-Formulation-of-Opdivo-nivolumab-Across-Multiple-Solid-Tumor-Indications/default.aspx).",2026-09-24
