# Loss-of-exclusivity dates a filer states in its own annual report, where an analyst has
# read them off the filing.
#
# The Orange Book lists every patent an NDA holder submits and never says which one a
# generic has to wait for; the Purple Book lists exclusivity and no patents at all. A
# filer's 10-K patent table does say, product by product, and where it disagrees with
# what the books imply the filer's own statement is the better evidence of when its
# market opens. Pfizer's table put Vyndaqel's basic patent at 2026 when the books implied
# 2035, and Comirnaty's at 2041 when the books implied 2033.
#
# A row here sets the date for that asset outright, over the books, the curated compound
# patent and the statutory floor. The dates are as the filing states them: a year where
# the table gives a year, a month or a day where a footnote does. Pending patent term
# extensions are recorded in the note and not taken, following the table's own rule that
# its years include granted extensions only.
#
# Source for every PFE row: Pfizer Inc. Form 10-K for 2025, filed 2026-02-26, accession
# 0000078003-26-000026, Item 1 "Patents and Other Intellectual Property Rights", U.S.
# basic product patent expiration year column and its footnotes.
#
# The other seventeen modelled filers were read the same way on 2026-09-16, each from its
# FY2025 10-K or 20-F, and a row is written only where the filer's US date differs from
# the one the model held. Every such row names the accession and the table or footnote in
# its note, and its wording was checked against the filed document. The date taken is the
# molecule's: the compound, basic product or new molecular entity patent, or the
# regulatory exclusivity where that runs later, never a formulation or method of use
# patent. A settled generic or biosimilar entry date is taken over the patent, as for
# Eliquis above. A biologic's compound patent that ends before its twelve years of
# exclusivity is not a date the market opens, so it is not taken. Where a filer folds
# extensions into its dates without saying which are granted (Lilly, Novo Nordisk), the
# USPTO list of patent term extension certificates issued decides; one not on it is
# pending and not taken.
#
# "expired" in the loe column is a filer saying generics or biosimilars are already on
# its US market without giving a year. The loss is then past with no date, and no year
# is supplied for it.
ticker,brand,loe,basis,note
MRK,Lenvima,2030-07,"Merck 10-K, settled generic entry","0000310158-26-000063, Item 1 patent table footnote 5: settlement agreements on an additional product-related patent mean generic entry is not expected until July 2030; litigation is ongoing. The table's U.S. key patent year is 2026"
MRK,Gardasil / Gardasil 9,2028,"Merck 10-K, U.S. key patent","0000310158-26-000063, Item 1 patent table: Gardasil 2028 compound patent, Gardasil 9 2028 composition patent (footnote 9)"
MRK,CAPVAXIVE,2038,"Merck 10-K, U.S. composition patent","0000310158-26-000063, Item 1 patent table, footnote 9"
MRK,Winrevair,2036,"Merck 10-K, U.S. data exclusivity","0000310158-26-000063, Item 1 patent table footnote 8: 12 years of U.S. data exclusivity expiring 2036; compound patent 2027. Method of treatment patents expiring 2037 absent PTE may provide additional exclusivity and are not taken"
NVO,Victoza,2024-06-22,"Novo Nordisk 20-F, settled generic entry","0000353278-26-000012, Item 4 Patent situation: settled ANDA filers licensed to launch generic Victoza as of June 22, 2024; U.S. compound patent expired 2023"
NVO,Saxenda,2023,"Novo Nordisk 20-F, U.S. liraglutide compound patent expired","0000353278-26-000012, Item 4 Patent situation: Saxenda's liraglutide compound patent has expired in all countries, and the liraglutide compound patent expired in the US in 2023 (Victoza paragraph). U.S. Saxenda settlements are confidential"
NVO,Tresiba,2029,"Novo Nordisk annual report, U.S. active ingredient patent","0000353278-26-000012, Annual Report 2025 exhibit, Patent status for products with marketing authorisation (active ingredient patents incl. actual and estimated extensions). The USPTO list of PTE certificates issued shows the insulin degludec extension"
NVO,Ryzodeg,2029,"Novo Nordisk annual report, U.S. active ingredient patent","0000353278-26-000012, Annual Report 2025 exhibit, Patent status for products with marketing authorisation (active ingredient patents incl. actual and estimated extensions). Insulin degludec, as Tresiba"
NVO,Xultophy,2029,"Novo Nordisk annual report, U.S. active ingredient patent","0000353278-26-000012, Annual Report 2025 exhibit, Patent status for products with marketing authorisation (active ingredient patents incl. actual and estimated extensions). Insulin degludec, as Tresiba"
NVS,Entresto,2025-09,"Novartis 20-F, U.S. generic entry","0001114448-26-000004, Item 5: generic entry in the US in the third quarter of 2025. Item 4 key marketed products table (basic CoM patent incl. granted PTE, or regulatory exclusivity, whichever is later): U.S. combination patent expired"
NVS,Tasigna,expired,"Novartis 20-F, U.S. generic competition","0001114448-26-000004, Item 4 key marketed products table (basic CoM patent incl. granted PTE, or regulatory exclusivity, whichever is later): U.S. CoM patent expired. Item 5: US sales offset by generic competition for Tasigna; no year stated"
NVS,Cosentyx,2029,"Novartis 20-F, U.S. basic exclusivity","0001114448-26-000004, Item 4 key marketed products table (basic CoM patent incl. granted PTE, or regulatory exclusivity, whichever is later)"
NVS,Kesimpta,2031,"Novartis 20-F, U.S. basic exclusivity","0001114448-26-000004, Item 4 key marketed products table (basic CoM patent incl. granted PTE, or regulatory exclusivity, whichever is later)"
NVS,Zolgensma,2033,"Novartis 20-F, U.S. basic exclusivity","0001114448-26-000004, Item 4 key marketed products table (basic CoM patent incl. granted PTE, or regulatory exclusivity, whichever is later)"
NVS,Scemblix,2035,"Novartis 20-F, U.S. basic exclusivity","0001114448-26-000004, Item 4 key marketed products table (basic CoM patent incl. granted PTE, or regulatory exclusivity, whichever is later)"
NVS,Fabhalta,2034,"Novartis 20-F, U.S. basic exclusivity","0001114448-26-000004, Item 4 key marketed products table (basic CoM patent incl. granted PTE, or regulatory exclusivity, whichever is later), footnote 5: PTE applied for and pending, not included"
REGN,Libtayo,2035-09-18,"Regeneron 10-K, U.S. composition of matter patent","0000872589-26-000008, Patents, Trademarks, and Trade Secrets table, U.S. 9,987,500; a second composition of matter patent 10,737,113 expires April 10, 2035. Formulation 2038 and methods of treatment 2037-2038 not taken"
SNY,Dupixent,2031-03,"Sanofi 20-F, U.S. compound patent with PTE","0001628280-26-008403, Item 4 Product and patent overview table. U.S. regulatory exclusivity March 2029; later filed patents pending"
SNY,ALTUVIIIO,2037-02,"Sanofi 20-F, U.S. compound patent with PTA","0001628280-26-008403, Item 4 Product and patent overview table. PTE pending, not taken; U.S. regulatory exclusivity February 2035"
SNY,Cablivi,2032-02,"Sanofi 20-F, U.S. compound patent with PTA and PTE","0001628280-26-008403, Item 4 Product and patent overview table. U.S. regulatory exclusivity February 2031"
SNY,Aubagio,2023-03-12,"Sanofi 20-F, settled generic entry","0001628280-26-008403, Item 4 Aubagio: 2017 settlement with all 20 generic ANDA first filers licensed U.S. entry on March 12, 2023"
UTHR,Tyvaso,2026-01,"United Therapeutics 10-K, settled generic entry","0001082554-26-000006, Generic Competition: the Watson settlement permits a generic Nebulized Tyvaso as early as January 2026; Watson has not received FDA approval"
UTHR,Orenitram,2027-06,"United Therapeutics 10-K, settled generic entry","0001082554-26-000006, Generic Competition: Actavis may launch in June 2027 and ANI in December 2027, either possibly earlier"
UTHR,Remodulin,2019-03,"United Therapeutics 10-K, settled generic launch","0001082554-26-000006, Generic Competition: Sandoz announced U.S. availability of its settled generic in March 2019; limited erosion through 2025"
VRTX,Kalydeco,2028,"Vertex 10-K, U.S. basic product patent with pediatric exclusivity","0000875320-26-000056, Item 1 basic product patent table, footnote 1: includes pediatric exclusivity"
VRTX,Orkambi,2031,"Vertex 10-K, U.S. basic product patent with pediatric exclusivity","0000875320-26-000056, Item 1 basic product patent table (lumacaftor), footnote 1: includes pediatric exclusivity"
MRK,Keytruda Qlex,2043,"Merck FY2025 10-K key U.S. patent table (0000310158-26-000063), Keytruda Qlex U.S. year of expiration","Printed as 'Keytruda Qlex 2043 2031 (19) N/A N/A' for the U.S., EU, Japan and China. The pembrolizumab compound patent that ends Keytruda's U.S. exclusivity in 2028 does not end this one's."
MRK,Nemtabrutinib,2035,"Merck FY2025 10-K (0000310158-26-000063), key U.S. patent protection for drug candidates in Phase 3 development, compound patent; the table notes these may be subject to a future PTE of up to five years, not taken",Printed as 'MK-1026 (nemtabrutinib) 2035'.
MRK,Bomedemstat,2036,"Merck FY2025 10-K (0000310158-26-000063), key U.S. patent protection for drug candidates in Phase 3 development, compound patent; the table notes these may be subject to a future PTE of up to five years, not taken",Printed as 'MK-3543 (bomedemstat) 2036'.
MRK,Opevesostat,2037,"Merck FY2025 10-K (0000310158-26-000063), key U.S. patent protection for drug candidates in Phase 3 development, compound patent; the table notes these may be subject to a future PTE of up to five years, not taken",Printed as 'MK-5684 (opevesostat) 2037'.
MRK,Calderasib,2041,"Merck FY2025 10-K (0000310158-26-000063), key U.S. patent protection for drug candidates in Phase 3 development, compound patent; the table notes these may be subject to a future PTE of up to five years, not taken",Printed as 'MK-1084 (calderasib) (1) 2041'.
MRK,Lipfendra,2040,"Merck FY2025 10-K (0000310158-26-000063), key U.S. patent protection for drug candidates in Phase 3 development, compound patent; the table notes these may be subject to a future PTE of up to five years, not taken","Printed as 'MK-0616 (enlicitide decanoate) 2040, approved July 2026'."
MRK,Sacituzumab Tirumotecan,2040,"Merck FY2025 10-K (0000310158-26-000063), key U.S. patent protection for drug candidates in Phase 3 development, compound patent; the table notes these may be subject to a future PTE of up to five years, not taken","Printed as 'MK-2870 (sacituzumab tirumotecan) (1) 2040; a biologic, and later than twelve years from a 2027 launch, so the patent sets the date'."
ABBV,Linzess,2029-03,"settled generic entry, stated by AbbVie's partner Ironwood (FY2025 10-K 0001104659-26-020489)","Ironwood: 'We and AbbVie have entered into settlement agreements with all five of these generic drug manufacturers providing for licenses to market their 72 mcg (if applicable), 145 mcg and 290 mcg generic versions of LINZESS, beginning as early as March 2029'. Set over the August 2026 substance patent the book implied. AbbVie states no date of its own."
AMGN,Uplizna,2034-06-11,"Amgen 10-K, U.S. CD19 antibodies and pharmaceutical compositions patent","0000318154-26-000010, Item 1 Patents table"
AMGN,Imdelltra,2036-08-12,"Amgen 10-K, U.S. bifunctional polypeptides patent","0000318154-26-000010, Item 1 Patents table"
REGN,Dupixent,2031-03-28,"Regeneron 10-K, U.S. composition of matter patent with term extension","0000872589-26-000008, Patents table: 'US | 8,735,095 | Composition of Matter | October 2, 2027', with '(e) A patent term extension has been granted ... extending the original patent term (October 2, 2027), insofar as it covers Dupixent, to March 28, 2031'. EU composition of matter with SPC runs to September 28, 2032 or March 28, 2033 with the paediatric extension; not split out, since Regeneron does not split its share of profits by region, so the value is a little low"
REGN,Eylea,2027,"Regeneron 10-Qs, settled U.S. biosimilar entry for EYLEA 2 mg","0000872589-26-000025 and prior 10-Qs: settlements allow Biocon from the second half of 2026, Sandoz and Formycon in Q4 2026, Celltrion from December 31, 2026 and Samsung Bioepis from January 2027; reference product exclusivity expired May 18, 2024 and Amgen's Pavblu launched in Q4 2024 at risk. 2027 is the first full year with the settled biosimilars on the market"
REGN,Eylea Hd,2039-05-15,"Regeneron 10-K, U.S. EYLEA HD formulation patent","0000872589-26-000008, Patents table: 'US | 11,103,552 | Formulation | May 15, 2039'. EYLEA HD has no reference product exclusivity: 'as EYLEA HD does not benefit from regulatory exclusivity in the United States, market exclusivity for EYLEA HD in the United States is based solely on our patent rights'. Its June 14, 2027 formulation and January 11, 2032 method patents are shared with EYLEA 2 mg, whose biosimilars launched regardless, so the patent only HD carries sets the date"
UTHR,Tyvaso Dpi,2035-04-01,"United Therapeutics 10-K, U.S. Tyvaso DPI drug product patent licensed from MannKind","0001082554-26-000006, FY2025 10-K: 'We have two Orange Book-listed U.S. patents that we license from MannKind directed to the composition of Tyvaso DPI drug product, which expire in 2030 and 2035'; Orange Book NDA 214324 lists 10,421,729 (DP) expiring 04/01/2035. The two drug substance flagged patents expiring 12/15/2028 relate to the manufacture of treprostinil, some of their claims were held invalid against Liquidia (affirmed 2023-07-24), and the same patents did not stop a settled generic of nebulized Tyvaso from January 2026, so they do not set the date. No Paragraph IV certification or generic application is on file for Tyvaso DPI (FDA Paragraph IV list 2026-08-17, Drugs@FDA 2026-09-16)"
UTHR,Oral Treprostinil,2034-04-30,"United Therapeutics 10-K, seven-year orphan drug exclusivity for an IPF indication","0001082554-26-000006, FY2025 10-K: 'if we obtain FDA approval to update the Tyvaso DPI and/or Nebulized Tyvaso labeling to include an IPF indication, then the FDA should grant seven-year orphan drug exclusivity for this new indication'; the company expects review to be complete in late April 2027 (release 2026-09-02). Generic nebulized Tyvaso is settled for January 2026 without approval yet; a carved-out generic label could still be substituted before 2034"
UTHR,Ralinepag,2035,"United Therapeutics 10-K, company view of U.S. patent life","0001082554-26-000006, FY2025 10-K: 'we believe that U.S. patent protection for ralinepag will likely last through at least the mid-2030s'; taken as 2035, the start of the range the company gives"
