ticker,name,primary_exchange,country,reporting_currency,us_adr_ticker,is_foreign_private_issuer,is_sec_filer,cik,ir_rss_url,ctgov_sponsor,openfda_manufacturer,openfda_sponsor,orange_book_applicant,purple_book_applicant
IOVA,"Iovance Biotherapeutics, Inc.",NASDAQ,US,USD,,0,1,,https://ir.iovance.com/rss/news-releases.xml,Iovance Biotherapeutics,,,,
SANA,"Sana Biotechnology, Inc.",NASDAQ,US,USD,,0,1,,https://ir.sana.com/rss/news-releases.xml,Sana Biotechnology,,,,
NTLA,"Intellia Therapeutics, Inc.",NASDAQ,US,USD,,0,1,,https://ir.intelliatx.com/rss/news-releases.xml,Intellia Therapeutics,,,,
BEAM,Beam Therapeutics Inc.,NASDAQ,US,USD,,0,1,,https://investors.beamtx.com/rss/news-releases.xml,Beam Therapeutics,,,,
CRSP,CRISPR Therapeutics AG,NASDAQ,US,USD,,0,1,,https://ir.crisprtx.com/rss/news-releases.xml,CRISPR Therapeutics,,,,
RCKT,"Rocket Pharmaceuticals, Inc.",NASDAQ,US,USD,,0,1,,https://ir.rocketpharma.com/rss/news-releases.xml,Rocket Pharmaceuticals,,,,
SRPT,"Sarepta Therapeutics, Inc.",NASDAQ,US,USD,,0,1,,https://investorrelations.sarepta.com/rss/news-releases.xml,Sarepta Therapeutics,,,,
ALNY,"Alnylam Pharmaceuticals, Inc.",NASDAQ,US,USD,,0,1,,https://www.alnylam.com/rss.xml,Alnylam Pharmaceuticals,,,,
IONS,"Ionis Pharmaceuticals, Inc.",NASDAQ,US,USD,,0,1,,https://ir.ionis.com/rss/news-releases.xml,Ionis Pharmaceuticals,,,,
ARWR,"Arrowhead Pharmaceuticals, Inc.",NASDAQ,US,USD,,0,1,,https://ir.arrowheadpharma.com/rss/news-releases.xml,Arrowhead Pharmaceuticals,,,,
MRNA,"Moderna, Inc.",NASDAQ,US,USD,,0,1,,https://news.modernatx.com/feed/rss2,"ModernaTX, Inc.",,,,
BNTX,BioNTech SE,NASDAQ,US,USD,,0,1,,https://investors.biontech.de/rss/news-releases.xml,BioNTech SE,,,,
VKTX,"Viking Therapeutics, Inc.",NASDAQ,US,USD,,0,1,,,Viking Therapeutics,,,,
ALT,"Altimmune, Inc.",NASDAQ,US,USD,,0,1,,https://ir.altimmune.com/rss/news-releases.xml,Altimmune,,,,
GPCR,Structure Therapeutics Inc.,NASDAQ,US,USD,,0,1,,https://ir.structuretx.com/rss/news-releases.xml,Structure Therapeutics,,,,
RVMD,"Revolution Medicines, Inc.",NASDAQ,US,USD,,0,1,,https://ir.revmed.com/rss/news-releases.xml,Revolution Medicines,,,,
LNTH,"Lantheus Holdings, Inc.",NASDAQ,US,USD,,0,1,,https://investor.lantheus.com/rss/news-releases.xml,Lantheus,,,,
ARGX,argenx SE,NASDAQ,US,USD,,0,1,,https://argenx.gcs-web.com/rss/news-releases.xml,argenx,,,,
AXSM,"Axsome Therapeutics, Inc.",NASDAQ,US,USD,,0,1,,,Axsome Therapeutics,,,,
NBIX,"Neurocrine Biosciences, Inc.",NASDAQ,US,USD,,0,1,,https://neurocrine.gcs-web.com/rss/news-releases.xml,Neurocrine Biosciences,,,,
BMRN,BioMarin Pharmaceutical Inc.,NASDAQ,US,USD,,0,1,,https://investors.biomarin.com/rss/pressrelease.aspx,BioMarin Pharmaceutical,,,,
UTHR,United Therapeutics Corporation,NASDAQ,US,USD,,0,1,,,United Therapeutics,,,,
INCY,Incyte Corporation,NASDAQ,US,USD,,0,1,,https://investor.incyte.com/rss/news-releases.xml,Incyte Corporation,,,,
EXEL,"Exelixis, Inc.",NASDAQ,US,USD,,0,1,,https://ir.exelixis.com/rss/news-releases.xml,Exelixis,,,,
QURE,uniQure N.V.,NASDAQ,US,USD,,0,1,,https://uniqure.gcs-web.com/rss/news-releases.xml,uniQure,,,,
EDIT,"Editas Medicine, Inc.",NASDAQ,US,USD,,0,1,,https://ir.editasmedicine.com/rss/news-releases.xml,Editas Medicine,,,,
PRME,"Prime Medicine, Inc.",NASDAQ,US,USD,,0,1,,https://investors.primemedicine.com/rss/news-releases.xml,Prime Medicine,,,,
SGMOQ,"Sangamo Therapeutics, Inc.",OTC,US,USD,,0,1,,https://investor.sangamo.com/rss/news-releases.xml,Sangamo Therapeutics,,,,
VYGR,"Voyager Therapeutics, Inc.",NASDAQ,US,USD,,0,1,,https://ir.voyagertherapeutics.com/rss/news-releases.xml,Voyager Therapeutics,,,,
RGNX,REGENXBIO Inc.,NASDAQ,US,USD,,0,1,,https://ir.regenxbio.com/rss/news-releases.xml,REGENXBIO,,,,
KRYS,"Krystal Biotech, Inc.",NASDAQ,US,USD,,0,1,,https://ir.krystalbio.com/rss/news-releases.xml,Krystal Biotech,,,,
TSHA,"Taysha Gene Therapies, Inc.",NASDAQ,US,USD,,0,1,,https://ir.tayshagtx.com/rss/news-releases.xml,Taysha Gene Therapies,,,,
ABEO,Abeona Therapeutics Inc.,NASDAQ,US,USD,,0,1,,https://investors.abeonatherapeutics.com/news-events/press-releases/rss,Abeona Therapeutics,,,,
SLDB,Solid Biosciences Inc.,NASDAQ,US,USD,,0,1,,https://investors.solidbio.com/rss/news-releases.xml,Solid Biosciences,,,,
ADAPY,Adaptimmune Therapeutics PLC,NASDAQ,US,USD,,0,1,,,Adaptimmune,,,,
FATE,"Fate Therapeutics, Inc.",NASDAQ,US,USD,,0,1,,https://ir.fatetherapeutics.com/rss/news-releases.xml,Fate Therapeutics,,,,
ATRA,"Atara Biotherapeutics, Inc.",NASDAQ,US,USD,,0,1,,https://investors.atarabio.com/news-events/press-releases/rss,Atara Biotherapeutics,,,,
AUTL,Autolus Therapeutics plc,NASDAQ,US,USD,,0,1,,,Autolus Limited,,,,
CABA,"Cabaletta Bio, Inc.",NASDAQ,US,USD,,0,1,,,Cabaletta Bio,,,,
KYTX,"Kyverna Therapeutics, Inc.",NASDAQ,US,USD,,0,1,,,Kyverna Therapeutics,,,,
IPSC,"Century Therapeutics, Inc.",NASDAQ,US,USD,,0,1,,,Century Therapeutics,,,,
VOR,Vor Biopharma Inc.,NASDAQ,US,USD,,0,1,,https://ir.vorbio.com/rss/news-releases.xml,Vor Biopharma,,,,
WVE,Wave Life Sciences Ltd.,NASDAQ,US,USD,,0,1,,https://wavelifesciences.gcs-web.com/rss/news-releases.xml,Wave Life Sciences,,,,
STOK,"Stoke Therapeutics, Inc.",NASDAQ,US,USD,,0,1,,https://investor.stoketherapeutics.com/rss/news-releases.xml,Stoke Therapeutics,,,,
ARCT,Arcturus Therapeutics Holdings Inc.,NASDAQ,US,USD,,0,1,,https://ir.arcturusrx.com/rss/news-releases.xml,Arcturus Therapeutics,,,,
DYN,"Dyne Therapeutics, Inc.",NASDAQ,US,USD,,0,1,,https://investors.dyne-tx.com/rss/news-releases.xml,Dyne Therapeutics,,,,
KRRO,"Korro Bio, Inc.",NASDAQ,US,USD,,0,1,,https://ir.korrobio.com/rss/news-releases.xml,Korro Bio,,,,
PEPG,PepGen Inc.,NASDAQ,US,USD,,0,1,,https://investors.pepgen.com/rss/news-releases.xml,PepGen,,,,
