# Loss-of-exclusivity dates outside the US, as each filer states them in its own FY2025
# annual report (10-K or 20-F), one row per product per market.
#
# The US date comes from the Orange and Purple Books and the filer's US table
# (disclosed_loe.csv). Outside the US there is no book, and the filer's patent table is
# the only free statement of when a market opens: Merck prints Keytruda's EU, Japan and
# China dates beside the US one, BMS its estimated minimum market exclusivity by
# region. regional_loe.py applies each date to the share of the product's sales the
# filer reports in that region.
#
# Read off the filing, never estimated. Every row carries the accession and a verbatim
# quote (table cells joined by " | ", separate passages by " ... "), checked word for
# word against the filed document. region is EU (Europe, major European markets), JP,
# CN, CA, BR, IN, or ROW where the filer names a group. loe is as precise as the filing:
# a year, a month, or a day; "expired" where it says exclusivity has gone without a
# year. The date is when the filer says exclusivity ends: its estimated minimum market
# exclusivity where it gives one, otherwise the later of the compound patent with any
# granted SPC and regulatory data protection. Pending extensions are in the note and
# not taken, except where the filer's own dates include them and it does not say which
# (Lilly, Incyte), which the note records.
ticker,brand,region,loe,basis,accession,quote,note
AZN,Calquence,EU,2035,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Calquence (acalabrutinib) | ... 2026-2032, 2032-2036 | 2032, 2036 | 2032-2035, 20352-2036 | 2037, 2036","NME patent dates 2032-2035; latest taken. Other patents: 2035-2036. Table cell: ""2032-2035, 20352-2036"". Footnote 2 marks a date in this cell: the patent is the subject of a pending opposition proceeding at the EPO. EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Calquence,JP,2037,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Calquence (acalabrutinib) | ... 2026-2032, 2032-2036 | 2032, 2036 | 2032-2035, 20352-2036 | 2037, 2036","Other patents: 2036. Table cell: ""2037, 2036""."
AZN,Enhertu,CN,2035,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Enhertu 5 (trastuzumab deruxtecan) | ... 2033, 2035 | 2033-2035 | 2033-2035 |  | 4","NME patent dates 2033-2035; latest taken. Table cell: ""2033-2035""."
AZN,Enhertu,EU,2035,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Enhertu 5 (trastuzumab deruxtecan) | ... 2033, 2035 | 2033-2035 | 2033-2035 |  | 4","NME patent dates 2033-2035; latest taken. Table cell: ""2033-2035"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Imfinzi,CN,2030,new molecular entity patent (incl. granted PTE),0001104659-26-019130,Key marketed products | Description | US | China | EU1 | Japan ... Imfinzi (durvalumab) | ... 2031 | 2030 | 2030 | 2033,"Table cell: ""2030""."
AZN,Imfinzi,EU,2030,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,Key marketed products | Description | US | China | EU1 | Japan ... Imfinzi (durvalumab) | ... 2031 | 2030 | 2030 | 2033,"Table cell: ""2030"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Imfinzi,JP,2033,new molecular entity patent (incl. granted PTE),0001104659-26-019130,Key marketed products | Description | US | China | EU1 | Japan ... Imfinzi (durvalumab) | ... 2031 | 2030 | 2030 | 2033,"Table cell: ""2033""."
AZN,Lynparza,EU,2029,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Lynparza 7 (olaparib) | ... 2027, 2027-2041 | 2027-2029 | 2029, 2027-2029 | 2029, 2027-2034","Other patents: 2027-2029. Table cell: ""2029, 2027-2029"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Lynparza,JP,2029,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Lynparza 7 (olaparib) | ... 2027, 2027-2041 | 2027-2029 | 2029, 2027-2029 | 2029, 2027-2034","Other patents: 2027-2034. Table cell: ""2029, 2027-2034""."
AZN,Tagrisso,CN,2032,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Tagrisso (osimertinib) | ... 2032, 2035 | 20328, 2035 | 8 | 2032, 2035 | 2034, 2035","Other patents: 2035. Table cell: ""20328, 2035"" (plus marker 8). Footnote 8 marks a date in this cell: the patent is the subject of one or more proceedings on its validity. Note 30: in November 2025 the Chinese Patent Office issued decisions maintaining the compound patents; in January 2026 it dismissed the invalidity case against the formulation patent."
AZN,Tagrisso,EU,2032,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Tagrisso (osimertinib) | ... 2032, 2035 | 20328, 2035 | 8 | 2032, 2035 | 2034, 2035","Other patents: 2035. Table cell: ""2032, 2035"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Tagrisso,JP,2034,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Tagrisso (osimertinib) | ... 2032, 2035 | 20328, 2035 | 8 | 2032, 2035 | 2034, 2035","Other patents: 2035. Table cell: ""2034, 2035""."
AZN,Truqap,CN,2028,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Truqap (capivasertib) | ... 2028-2030, 2025-2033 | 2028, 2033 | 2028, 2025-2033 | 2033","Other patents: 2033. Table cell: ""2028, 2033""."
AZN,Truqap,EU,2028,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Truqap (capivasertib) | ... 2028-2030, 2025-2033 | 2028, 2033 | 2028, 2025-2033 | 2033","Other patents: 2025-2033. Table cell: ""2028, 2025-2033"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Truqap,JP,2033,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Truqap (capivasertib) | ... 2028-2030, 2025-2033 | 2028, 2033 | 2028, 2025-2033 | 2033","Table cell: ""2033""."
AZN,Brilinta,EU,2025,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Brilinta/Brilique (ticagrelor) | ... 2025, 2030-2036 | 2037 | 2025, 2037 | 2025-2030","Other patents: 2037. NME date 2025 precedes the table date (as at 10 February 2026). Table cell: ""2025, 2037"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country. MD&A: Brilique sales in Europe decreased 45% ""due to generic entry in the second quarter"" of 2025."
AZN,Farxiga,EU,2028,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Farxiga/Forxiga9 (dapagliflozin) | ... 2026, 2025-2041 | 20278, 20288, 20408, 2041 | 2028, 2027, 20282, 2041 | 2025, 2028-2040","Other patents: 2027, 2028, 2041. Table cell: ""2028, 2027, 20282, 2041"". Footnote 2 marks a date in this cell: the patent is the subject of a pending opposition proceeding at the EPO. EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country. MD&A: Forxiga sales in Europe grew ""offset by generic entry in the UK in the third quarter""; Note 30: UK patent held invalid (Court of Appeal July 2025, permission to appeal to the Supreme Court denied); challenges pending in France, Poland and Portugal, with interim injunctions in Poland in January 2026."
AZN,Farxiga,JP,2025,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Farxiga/Forxiga9 (dapagliflozin) | ... 2026, 2025-2041 | 20278, 20288, 20408, 2041 | 2028, 2027, 20282, 2041 | 2025, 2028-2040","Other patents: 2028-2040. NME date 2025 precedes the table date (as at 10 February 2026). Table cell: ""2025, 2028-2040"". MD&A: Japan Forxiga sales decreased ""as a result of generic T2D entry in the fourth quarter"" of 2025."
AZN,Fasenra,EU,2025,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Fasenra (benralizumab) | ... 2028-2034 | 2028 | 2025, 2028-2034 | 2025, 2034","Other patents: 2028-2034. NME date 2025 precedes the table date (as at 10 February 2026). Table cell: ""2025, 2028-2034"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Fasenra,JP,2025,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Fasenra (benralizumab) | ... 2028-2034 | 2028 | 2025, 2028-2034 | 2025, 2034","Other patents: 2034. NME date 2025 precedes the table date (as at 10 February 2026). Table cell: ""2025, 2034""."
AZN,Saphnelo,CN,2029,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Saphnelo (anifrolumab) | ... 2025-2029, 2033-2036 | 2025-2029 | 2025-2029 2036-2042 | 2 | 2030-2034, 2033-2036","NME patent dates 2025-2029; latest taken. Table cell: ""2025-2029""."
AZN,Saphnelo,EU,2029,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Saphnelo (anifrolumab) | ... 2025-2029, 2033-2036 | 2025-2029 | 2025-2029 2036-2042 | 2 | 2030-2034, 2033-2036","NME patent dates 2025-2029; latest taken. Other patents: 2036-2042. Table cell: ""2025-2029 2036-2042"" (plus marker 2). Footnote 2 marks a date in this cell: the patent is the subject of a pending opposition proceeding at the EPO. EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Saphnelo,JP,2034,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Saphnelo (anifrolumab) | ... 2025-2029, 2033-2036 | 2025-2029 | 2025-2029 2036-2042 | 2 | 2030-2034, 2033-2036","NME patent dates 2030-2034; latest taken. Other patents: 2033-2036. Table cell: ""2030-2034, 2033-2036""."
AZN,Symbicort,CN,expired,patent expired,0001104659-26-019130,Key marketed products | Description | US | China | EU1 | Japan ... Symbicort (budesonide/ formoterol) | ... 2025-2029 | 12 | expired | expired | expired,"Table cell: ""expired""."
AZN,Symbicort,EU,expired,patent expired,0001104659-26-019130,Key marketed products | Description | US | China | EU1 | Japan ... Symbicort (budesonide/ formoterol) | ... 2025-2029 | 12 | expired | expired | expired,"Table cell: ""expired"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country. MD&A: Symbicort sales in Europe ""impacted by continued generic erosion""."
AZN,Symbicort,JP,expired,patent expired,0001104659-26-019130,Key marketed products | Description | US | China | EU1 | Japan ... Symbicort (budesonide/ formoterol) | ... 2025-2029 | 12 | expired | expired | expired,"Table cell: ""expired""."
AZN,Tezspire,CN,2028,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Tezspire 13 (tezepelumab) | ... 203314, 2038 | 2028 | 2028 | 2028, 2038","Table cell: ""2028""."
AZN,Tezspire,EU,2028,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Tezspire 13 (tezepelumab) | ... 203314, 2038 | 2028 | 2028 | 2028, 2038","Table cell: ""2028"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Beyfortus,EU,2035,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Beyfortus 15 (nirsevimab) | ... 2028-2035, 2038-2040 | 2038 | 2035 | 2035, 2038","Table cell: ""2035"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Beyfortus,JP,2035,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Beyfortus 15 (nirsevimab) | ... 2028-2035, 2038-2040 | 2038 | 2035 | 2035, 2038","Other patents: 2038. Table cell: ""2035, 2038""."
AZN,Soliris,EU,2027,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Soliris (eculizumab) | ... 202718, 2025-2032 | 2029 | 202719, 2029 | 2032, 2029","Other patents: 2029. Table cell: ""202719, 2029"". Footnote 19 marks a date in this cell: settled with Amgen for licensed biosimilar entry date of November 2025. EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country. MD&A: Soliris sales in Europe fell 52%, including ""biosimilar pressure in PNH and aHUS""; Note 30: global settlements with Amgen (November 2025) and Samsung Bioepis (January 2026)."
AZN,Soliris,JP,2032,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Soliris (eculizumab) | ... 202718, 2025-2032 | 2029 | 202719, 2029 | 2032, 2029","Other patents: 2029. Table cell: ""2032, 2029""."
AZN,Strensiq,EU,2031,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Strensiq (asfotase alfa) | ... 2025-2029, 2035-2038 |  | 2025-2031, 2036 | 2028, 2035-2036","NME patent dates 2025-2031; latest taken. Other patents: 2036. Table cell: ""2025-2031, 2036"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country. The China cell is blank in the HTML table grid, so this cell is read as EU."
AZN,Strensiq,JP,2028,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Strensiq (asfotase alfa) | ... 2025-2029, 2035-2038 |  | 2025-2031, 2036 | 2028, 2035-2036","Other patents: 2035-2036. Table cell: ""2028, 2035-2036""."
AZN,Ultomiris,CN,2035,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Ultomiris (ravulizumab) | ... 2035, 2038-2041 | 2035, 2038 | 2035, 2038-2040 | 2038, 2038-2039","Other patents: 2038. Table cell: ""2035, 2038""."
AZN,Ultomiris,EU,2035,new molecular entity patent (incl. granted SPC/PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Ultomiris (ravulizumab) | ... 2035, 2038-2041 | 2035, 2038 | 2035, 2038-2040 | 2038, 2038-2039","Other patents: 2038-2040. Table cell: ""2035, 2038-2040"". EU means expiry in major EU markets including the UK (footnote 1); the SPC situation may vary by country."
AZN,Ultomiris,JP,2038,new molecular entity patent (incl. granted PTE),0001104659-26-019130,"Key marketed products | Description | US | China | EU1 | Japan ... Ultomiris (ravulizumab) | ... 2035, 2038-2041 | 2035, 2038 | 2035, 2038-2040 | 2038, 2038-2039","Other patents: 2038-2039. Table cell: ""2038, 2038-2039""."
AZN,Crestor,CN,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Crestor,EU,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Crestor,JP,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Nexium,CN,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Nexium,EU,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Nexium,JP,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Pulmicort,CN,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Pulmicort,EU,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Pulmicort,JP,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Seloken,CN,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Seloken,EU,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Seloken,JP,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Synagis,CN,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Synagis,EU,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Synagis,JP,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Zoladex,CN,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Zoladex,EU,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
AZN,Zoladex,JP,expired,patent protection lost in all major markets,0001104659-26-019130,"Crestor, Nexium, Pulmicort, Seloken, Synagis and Zoladex are key marketed products which have lost patent protection in all major markets.","Note to the patent expiry table, whose markets are the US, China, EU and Japan; no year given."
BIIB,Tysabri,EU,expired,biosimilar entrant in Europe,0000875045-26-000013,"Global TYSABRI revenue decreased $49.6 million, from $1,715.0 million in 2024 to $1,665.4 million in 2025, or 2.9%, primarily due to increased competition in rest of world, including the impacts from a biosimilar entrant of TYSABRI in Europe.","No expiry year stated. Filing says a TYSABRI biosimilar was approved in the E.U. in 2023. Patent table still lists Europe patents: methods of treatment to 2026, formulation EP 2,170,390 to 2028, safety-related assays to 2031 and 2032; no SPC or E.U. regulatory exclusivity listed."
BIIB,Tecfidera,EU,expired,regulatory marketing protection ended; generic entrants,0000875045-26-000013,"Multiple TECFIDERA generic entrants are now in North America, Brazil and certain European countries ... In September 2025 the European General Court annulled the May 2023 European Commission decision granting TECFIDERA an additional year of regulatory marketing protection extending until February 2025.",Regulatory marketing protection was extended until February 2025 by a May 2023 EC decision; the European General Court annulled that decision in September 2025; Biogen and the EC appealed and the appeal is pending. EPO Technical Boards of Appeal revoked EP 2 653 873 in November 2025 and Biogen stopped enforcing it and its national counterparts. Biogen seeks damages from generic sellers in the Netherlands and Denmark.
BIIB,Tecfidera,BR,expired,generic entrants,0000875045-26-000013,"Multiple TECFIDERA generic entrants are now in North America, Brazil and certain European countries and have deeply discounted prices compared to TECFIDERA.",No expiry year stated. The filing also names North America; Canada is not named separately.
BIIB,Plegridy,EU,2028,polymer conjugate patent with SPC,0000875045-26-000013,"PLEGRIDY | U.S. | 8,017,733 | Polymer conjugates of interferon beta-1a | 2027 | Europe | 1,476,181 | Polymer conjugates of interferon-beta-1a and uses thereof | 2023(2) ... (2)This patent is subject to granted SPCs in certain European countries, which extended the patent term in those countries to 2028.","EP 1,476,181 base term 2023; granted SPCs extend it to 2028 in certain European countries only. No E.U. regulatory exclusivity listed."
BIIB,Vumerity,EU,2034,prodrug compound patent,0000875045-26-000013,"VUMERITY | U.S. | 8,669,281 | Compounds and pharmaceutical compositions | 2033 ... Europe | 2,970,101 | Crystalline forms, pharmaceutical compositions and methods of treatment Prodrugs of fumarates and their use in treating various diseases | 2034 | Europe | 3,253,377 | Formulation | 2035","EP 2,970,101 subject-matter cell prints two titles (crystalline forms; prodrugs of fumarates). Formulation patent EP 3,253,377 runs to 2035. No SPC and no E.U. regulatory exclusivity listed."
BIIB,Spinraza,EU,2032,composition patent with SPC,0000875045-26-000013,"SPINRAZA | U.S. | 7,838,657 ... Europe | 3,449,926 | Compositions and methods for modulation of SMN2 splicing | 2030(6) ... (6)This patent is subject to granted SPCs in certain European countries, which extended the patent term in those countries to 2032.","SPCs granted in certain European countries only. E.U. regulatory exclusivity to 2029. EP 1,910,395 and EP 2,548,560 (base 2026) carry granted SPCs to 2031. Method-of-treatment patent EP 3,999,643 runs to 2040."
BIIB,Skyclarys,EU,2038,composition patent with SPC,0000875045-26-000013,"SKYCLARYS | U.S. | 8,124,799 ... Europe | 2,841,445 | 2,2-Difluoropropionamide Derivatives of Bardoxolone Methyl, Polymorphic Forms and Methods of Use Thereof (Composition) | 2033(7) ... (7)This patent is subject to granted SPCs in certain European countries, which extended the patent term in those countries to 2038.","EP 2,841,445 base term 2033; SPCs granted in certain European countries only. E.U. regulatory exclusivity to 2034. Composition patent EP 2,276,493 to 2029; method-of-use EP 3,444,261 to 2033."
BIIB,Zurzuvae,EU,2035,regulatory exclusivity,0000875045-26-000013,"(1)In addition to patent protection, certain of our products are entitled to regulatory exclusivity in the U.S. and the E.U. expected until the dates set forth below: ... ZURZUVAE | U.S. | 2028 | ZURZUVAE | E.U. | 2035","Europe compound patents EP 2,986,623, EP 3,498,725 and EP 3,909,966 to 2034 and EP 2,766,380 to 2032; no SPC listed."
